/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3463.smt2 || z3=unsat:0.05 || cvc4=unsat:0.21 || ostrich=unsat:3.58 || ostrich_catra=unsat:2.22
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3464.smt2 || z3=unsat:0.05 || cvc4=unsat:0.2 || ostrich=unsat:3.37 || ostrich_catra=unsat:2.18
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3465.smt2 || z3=unsat:0.05 || cvc4=unsat:0.19 || ostrich=unsat:3.54 || ostrich_catra=unsat:2.29
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3466.smt2 || z3=unsat:0.05 || cvc4=unsat:0.19 || ostrich=unsat:None || ostrich_catra=unsat:2.72
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3467.smt2 || z3=unsat:0.05 || cvc4=unsat:0.18 || ostrich=unsat:3.35 || ostrich_catra=unsat:2.2
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/475.smt2 || z3=unsat:0.05 || cvc4=unsat:0.18 || ostrich=unsat:3.34 || ostrich_catra=unsat:2.11
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/476.smt2 || z3=unsat:0.06 || cvc4=unsat:0.19 || ostrich=unsat:3.3 || ostrich_catra=unsat:2.13
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3678.smt2 || z3=unsat:0.05 || cvc4=unsat:0.18 || ostrich=unsat:3.24 || ostrich_catra=unsat:2.16
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3468.smt2 || z3=unsat:0.05 || cvc4=unsat:0.18 || ostrich=unsat:3.65 || ostrich_catra=unsat:2.37
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/477.smt2 || z3=unsat:0.05 || cvc4=unsat:0.21 || ostrich=t || ostrich_catra=unsat:2.73
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3679.smt2 || z3=unsat:0.04 || cvc4=unsat:0.15 || ostrich=unsat:3.53 || ostrich_catra=unsat:2.16
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3680.smt2 || z3=unsat:0.05 || cvc4=unsat:0.18 || ostrich=unsat:3.46 || ostrich_catra=unsat:2.23
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3469.smt2 || z3=unsat:0.06 || cvc4=unsat:0.2 || ostrich=unsat:3.69 || ostrich_catra=unsat:2.32
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/1903.smt2 || z3=unsat:0.05 || cvc4=unsat:0.21 || ostrich=unsat:3.5 || ostrich_catra=unsat:2.2
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/3592.smt2 || z3=unsat:0.06 || cvc4=unsat:0.19 || ostrich=unsat:3.45 || ostrich_catra=unsat:2.19
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3470.smt2 || z3=unsat:0.05 || cvc4=unsat:0.19 || ostrich=t || ostrich_catra=unsat:2.66
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3681.smt2 || z3=unsat:0.05 || cvc4=unsat:0.36 || ostrich=unsat:3.93 || ostrich_catra=(error "Cannot handle literal str_to_int(all_1_10, all_1_6)"):3.02
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/1904.smt2 || z3=unsat:0.05 || cvc4=unsat:0.19 || ostrich=unsat:3.59 || ostrich_catra=unsat:2.27
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/478.smt2 || z3=unsat:0.05 || cvc4=unsat:0.18 || ostrich=t || ostrich_catra=unsat:2.29
/Volumes/Storage/QF_SLIA-master/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/3593.smt2 || z3=unsat:0.04 || cvc4=unsat:0.14 || ostrich=unsat:3.48 || ostrich_catra=unsat:2.12
