
INFO Tue Jun 27 08:31:09 CEST 2023 JVM version: 1.8.0_121 Heap size: total: 573046784B, max: 1398276096B, free: 371374288B, nr cores: 4, using: 1
INFO: doing warm-up run...
...warm-up done!
CONFIGS baseline	lazy	nuxmv
CONFIG nuxmv IS SolveSatisfy --timeout 30000 --backend nuxmv --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG baseline IS SolveSatisfy --timeout 30000 --backend baseline --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG lazy IS SolveSatisfy --timeout 30000 --backend lazy --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
TIMEOUT 30000
HARD TIMEOUT 18600000 milliseconds FOR ALL
RESULT ../../../anonymous/deduped-benchmarks/27641.par	u4.85835134	u0.756662208	t30.041166848
RESULT ../../../anonymous/deduped-benchmarks/28070.par	t30.002182296	u1.647233025	t30.05391614
RESULT ../../../anonymous/deduped-benchmarks/275.par	t30.002099029	u3.047968912	t30.018980174
RESULT ../../../anonymous/deduped-benchmarks/27737.par	u4.157815425	u0.763448477	u20.704894219
RESULT ../../../anonymous/deduped-benchmarks/27805.par	t30.038782594	t31.589443876	t30.023109725
RESULT ../../../anonymous/deduped-benchmarks/27607.par	t30.02809713	t32.600708094	t30.023436426
RESULT ../../../anonymous/deduped-benchmarks/28041.par	t30.001762872	u1.581238221	t30.055024762
RESULT ../../../anonymous/deduped-benchmarks/27676.par	u4.905108153	u0.748933753	t30.036293585
RESULT ../../../anonymous/deduped-benchmarks/27936.par	t30.013086265	u1.576924555	t30.043737071
RESULT ../../../anonymous/deduped-benchmarks/27666.par	u3.75210865	u0.7326114	u18.299049491
RESULT ../../../anonymous/deduped-benchmarks/27782.par	u5.7818295	u0.765936209	t30.037346426
RESULT ../../../anonymous/deduped-benchmarks/27961.par	t30.001281492	u1.603459085	t30.058242397
RESULT ../../../anonymous/deduped-benchmarks/27724.par	u6.238356373	u0.732835679	t30.039045044
RESULT ../../../anonymous/deduped-benchmarks/27730.par	u4.577733029	u0.772638038	t30.035884801
RESULT ../../../anonymous/deduped-benchmarks/27927.par	t30.002585255	u1.54259529	t30.048470352
RESULT ../../../anonymous/deduped-benchmarks/27688.par	u4.541012221	u0.734232244	u13.757005756
RESULT ../../../anonymous/deduped-benchmarks/27916.par	t30.010423057	u1.595554338	t30.058904107
RESULT ../../../anonymous/deduped-benchmarks/27883.par	u4.787396325	u0.584507081	t30.028795091
RESULT ../../../anonymous/deduped-benchmarks/27995.par	t30.010296384	t32.800375583	u10.373051364
RESULT ../../../anonymous/deduped-benchmarks/27810.par	t30.003157463	t32.578183269	t30.021488454
RESULT ../../../anonymous/deduped-benchmarks/27796.par	t30.062942652	t33.479978765	t30.026931659
RESULT ../../../anonymous/deduped-benchmarks/27725.par	u6.677010125	u0.767726673	t30.029926155
RESULT ../../../anonymous/deduped-benchmarks/28095.par	t30.000901113	u1.571654254	t30.051786941
RESULT ../../../anonymous/deduped-benchmarks/279.par	t30.002714474	t32.318644921	s23.843186232
RESULT ../../../anonymous/deduped-benchmarks/27990.par	t30.007081456	s5.825359587	s9.184311184
RESULT ../../../anonymous/deduped-benchmarks/27952.par	t30.001325477	u1.571273569	t30.059404937
RESULT ../../../anonymous/deduped-benchmarks/27867.par	t30.019407872	s10.296554976	t30.021276398
RESULT ../../../anonymous/deduped-benchmarks/27871.par	t30.007790547	t32.963619607	t30.028363847
RESULT ../../../anonymous/deduped-benchmarks/27885.par	u4.674651639	u0.588997657	t30.033752954
RESULT ../../../anonymous/deduped-benchmarks/2796.par	t30.004824347	s12.763236872	t30.025282713
RESULT ../../../anonymous/deduped-benchmarks/27637.par	u5.044492759	u0.76876734	t30.03381741
RESULT ../../../anonymous/deduped-benchmarks/27654.par	u12.845038512	u0.767573737	t30.031077188
RESULT ../../../anonymous/deduped-benchmarks/27813.par	t30.03826932	s6.134384778	t30.022408206
RESULT ../../../anonymous/deduped-benchmarks/27879.par	t30.079303134	t33.260341681	t30.02413686
RESULT ../../../anonymous/deduped-benchmarks/27989.par	t30.010333202	s2.196699526	s6.308565378
RESULT ../../../anonymous/deduped-benchmarks/28019.par	t30.033367048	t32.552270344	t30.02132133
RESULT ../../../anonymous/deduped-benchmarks/27915.par	t30.009065462	u1.653446688	t30.049043718
RESULT ../../../anonymous/deduped-benchmarks/28076.par	t30.001697717	u1.621834938	t30.059906449
RESULT ../../../anonymous/deduped-benchmarks/27901.par	t30.112500097	t33.154970294	t30.037583362
